Lane	str	File Name	gel	Peak 1	Peak 2
1	Fca 032	fca32	1	0	0
1	Fca 032	fca32	1	200.26	200.26
2	Fca 032	fca32	1	194.21	206.33
2	Fca 032	fca32	1	194.26	196.56
1	Fca 032	fca32	1	202.33	206.35
1	Fca 032	fca32	1	200.26	200.26
2	Fca 032	fca32	1	194.52	200.26
2	Fca 032	fca32	1	194.11	196.16
1	Fca 032	fca32	1	194.19	206.39
1	Fca 032	fca32	1	200.26	202.33
2	Fca 032	fca32	1	200.26	202.09
2	Fca 032	fca32	1	200.26	202.2
1	Fca 032	fca32	1	200	200
1	Fca 032	fca32	1	200.26	200.26
2	Fca 032	fca32	1	200.26	200.26
2	Fca 032	fca32	1	200.26	200.26
1	Fca 032	fca32	1	200.26	204.52
1	Fca 032	fca32	1	200.26	200.26
2	Fca 032	fca32	1	200	206.18
2	Fca 032	fca32	1	194.21	200
1	Fca 032	fca32	1	200.13	206.4
1	Fca 032	fca32	1	200.26	206.35
2	Fca 032	fca32	1	194.16	206.36
2	Fca 032	fca32	1	194.16	206.37
1	Fca 032	fca32	1	196.07	206.28
1	Fca 032	fca32	1	206.42	206.42
2	Fca 032	fca32	1	202.23	206.43
2	Fca 032	fca32	1	200.26	200.26
1	Fca 032	fca32	1	200.26	206.41
1	Fca 032	fca32	1	200	200
2	Fca 032	fca32	1	200.26	200.26
2	Fca 032	fca32	1	200	206.24
1	Fca 032	fca32	1	200.13	200.13
1	Fca 032	fca32	1	200.26	200.26
2	Fca 032	fca32	1	200.26	200.26
2	Fca 032	fca32	1	200.13	206.37
1	Fca 032	fca32	1	200.26	206.36
1	Fca 032	fca32	1	200.26	206.39
2	Fca 032	fca32	1	200.26	200.26
2	Fca 032	fca32	1	200	206.24
1	Fca 032	fca32	1	200.39	206.53
1	Fca 032	fca32	1	194.29	206.4
2	Fca 032	fca32	1	200.26	200.26
2	Fca 032	fca32	1	200	206.24
1	Fca 032	fca32	1	200.39	206.48
1	Fca 032	fca32	1	200.26	206.28
2	Fca 032	fca32	1	200	206.49
2	Fca 032	fca32	1	200	206.28
3	Fca 032	fca32	1	200.13	204.25
3	Fca 032	fca32	1	200.13	206.33
4	Fca 032	fca32	1	200.13	200.13
4	Fca 032	fca32	1	200.13	206.32
3	Fca 032	fca32	1	200	200
3	Fca 032	fca32	1	200.4	200.4
4	Fca 032	fca32	1	200.13	200.13
4	Fca 032	fca32	1	200.26	200.26
3	Fca 032	fca32	1	200.13	206.21
3	Fca 032	fca32	1	0	0
4	Fca 032	fca32	1	200.4	206.06
4	Fca 032	fca32	1	200.26	200.26
3	Fca 032	fca32	1	200.27	206.37
3	Fca 032	fca32	1	200.13	202.24
4	Fca 032	fca32	1	199.87	206.09
4	Fca 032	fca32	1	199.87	206.19
3	Fca 032	fca32	1	200.26	206.3
3	Fca 032	fca32	1	200.13	206.32
4	Fca 032	fca32	1	200.26	200.26
4	Fca 032	fca32	1	200	200
3	Fca 032	fca32	1	200.13	206.21
3	Fca 032	fca32	1	200.26	206.31
4	Fca 032	fca32	1	200.27	200.27
4	Fca 032	fca32	1	200.26	200.26
3	Fca 032	fca32	1	199.87	199.87
3	Fca 032	fca32	1	199.87	199.87
4	Fca 032	fca32	1	0	0
4	Fca 032	fca32	1	0	0
3	Fca 032	fca32	1	200.13	206.37
3	Fca 032	fca32	1	202.11	206.21
4	Fca 032	fca32	1	200.13	201.98
4	Fca 032	fca32	1	200.13	201.86
3	Fca 032	fca32	1	196.18	200.26
3	Fca 032	fca32	1	202.11	206.35
4	Fca 032	fca32	1	200.13	202.23
4	Fca 032	fca32	1	201.98	206.22
3	Fca 032	fca32	1	200.13	206.32
3	Fca 032	fca32	1	200.13	202.11
4	Fca 032	fca32	1	199.87	205.92
4	Fca 032	fca32	1	194.19	200.13
3	Fca 032	fca32	1	200.13	200.13
3	Fca 032	fca32	1	200.27	206.36
4	Fca 032	fca32	1	200.13	200.13
4	Fca 032	fca32	1	0	0
3	Fca 032	fca32	1	0	0
3	Fca 032	fca32	1	0	0
4	Fca 032	fca32	1	0	0
4	Fca 032	fca32	1	0	0
